"ref_num","name","link","posted_on"
"QDi.177","HABIB BEN AHMED AL-LOUBIRI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/habib-ben-ahmed-al-loubiri","23 February 2010"
"QDi.184","MUHSIN FADHIL AYED ASHOUR AL-FADHLI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/muhsin-fadhil-ayed-ashour-al-fadhli","24 January 2011"
"QDi.186","ABU RUSDAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abu-rusdan","30 October 2009"
"QDi.187","ARIS SUMARSONO","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/zulkarnaen","26 August 2009"
"QDi.188","FAYCAL BOUGHANEMI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/faycal-boughanemi","07 May 2009"
"QDi.190","ABDELKADER LAAGOUB","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdelkader-laagoub","07 May 2009"
"QDi.192","ABD ALLAH MOHAMED RAGAB ABDEL RAHMAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abd-allah-mohamed-ragab-abdel-rahman","08 April 2011"
"QDi.193","ZAKI EZAT ZAKI AHMED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/zaki-ezat-zaki-ahmed","08 April 2011"
"QDi.196","ALI SAYYID MUHAMED MUSTAFA BAKRI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ali-sayyid-muhamed-mustafa-bakri","08 April 2011"
"QDi.198","HANI AL-SAYYID AL-SEBAI YUSIF","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hani-al-sayyid-al-sebai-yusif","07 September 2010"
"QDi.203","FARHAD KANABI AHMAD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/farhad-kanabi-ahmad","16 September 2009"
"QDi.204","ISNILON TOTONI HAPILON","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/isnilon-totoni-hapilon","26 August 2009"
"QDi.208","RADULAN SAHIRON","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/radulan-sahiron","26 August 2009"
"QDi.216","ABDULLAH ANSHORI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdullah-anshori","07 September 2010"
"QDi.217","ABU BAKAR BA'ASYIR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abu-bakar-ba%27asyir","08 April 2011"
"QDi.218","GUN GUN RUSMAN GUNAWAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/gun-gun-rusman-gunawan","08 April 2011"
"QDi.219","TAUFIK RIFKI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/taufik-rifki","08 April 2011"
"QDi.222","NESSIM BEN ROMDHANE SAHRAOUI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/nessim-ben-romdhane-sahraoui","14 September 2009"
"QDi.223","MERAI ABDEFATTAH KHALIL ZOGHBI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/merai-abdefattah-khalil-zoghbi","07 May 2009"
"QDi.226","NAJMUDDIN FARAJ AHMAD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/najmuddin-faraj-ahmad","08 April 2011"
"QDi.228","MOHAMMED AL GHABRA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohammed-al-ghabra","30 October 2009"
"QDi.229","ALY SOLIMAN MASSOUD ABDUL SAYED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/aly-soliman-massoud-abdul-sayed","06 April 2009"
"QDi.231","SALEM NOR ELDIN AMOHAMED AL-DABSKI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/salem-nor-eldin-amohamed-al-dabski","06 April 2009"
"QDi.232","ABDELMALEK DROUKDEL","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdelmalek-droukdel","15 June 2009"
"QDi.236","HAMID ABDALLAH AHMAD AL-ALI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hamid-abdallah-ahmad-al-ali","06 April 2009"
"QDi.237","JABER ABDALLAH JABER AHMAD AL-JALAHMAH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/jaber-abdallah-jaber-ahmad-al-jalahmah","03 January 2014"
"QDi.238","MUBARAK MUSHAKHAS SANAD MUBARAK AL-BATHALI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mubarak-mushakhas-sanad-mubarak-al-bathali","06 April 2009"
"QDi.241","ANGELO RAMIREZ TRINIDAD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/angelo-ramirez-trinidad","07 May 2009"
"QDi.242","DINNO AMOR ROSALEJOS PAREJA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/dinno-amor-rosalejos-pareja","07 May 2009"
"QDi.243","FELICIANO SEMBORIO DELOS REYES JR.","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/feliciano-semborio-delos-reyes-jr.","07 May 2009"
"QDi.244","HILARION DEL ROSARIO SANTOS III","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hilarion-del-rosario-santos","07 May 2009"
"QDi.245","PIO ABOGNE DE VERA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/pio-abogne-de-vera","07 May 2009"
"QDi.246","REDENDO CAIN DELLOSA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/redendo-cain-dellosa","07 May 2009"
"QDi.247","RUBEN PESTANO LAVILLA, JR.","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ruben-pestano-lavilla%2C-jr.","07 May 2009"
"QDi.248","RICARDO PEREZ AYERAS","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ricardo-perez-ayeras","07 May 2009"
"QDi.249","YAHIA DJOUADI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/yahia-djouadi","28 January 2009"
"QDi.250","AMOR MOHAMED GHEDEIR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/amor-mohamed-ghedeir","28 January 2009"
"QDi.251","SALAH EDDINE GASMI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/salah-eddine-gasmi","28 January 2009"
"QDi.252","AHMED DEGHDEGH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ahmed-deghdegh","28 January 2009"
"QDi.261","ADEM YILMAZ","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/adem-yilmaz","09 March 2009"
"QDi.262","REDOUANE EL HABHAB","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/redouane-el-habhab","09 March 2009"
"QDi.263","HAFIZ MUHAMMAD SAEED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hafiz-muhammad-saeed","09 March 2009"
"QDi.264","ZAKI-UR-REHMAN LAKHVI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/zaki-ur-rehman-lakhvi","09 March 2009"
"QDi.265","HAJI MUHAMMAD ASHRAF","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/haji-muhammad-ashraf","09 March 2009"
"QDi.266","MAHMOUD MOHAMMAD AHMED BAHAZIQ","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mahmoud-mohammad-ahmed-bahaziq","09 March 2009"
"QDi.268","ABDUL HAQ","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-haq","13 August 2009"
"QDi.271","ARIF QASMANI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/arif-qasmani","14 September 2009"
"QDi.272","MOHAMMED YAHYA MUJAHID","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohammed-yahya-mujahid","14 September 2009"
"QDi.273","FAZEEL-A-TUL SHAYKH ABU MOHAMMED AMEEN AL-PESHAWARI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/fazeel-a-tul-shaykh-abu-mohammed-ameen-al","14 September 2009"
"QDi.276","AKRAM TURKI HISHAN AL-MAZIDIH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/akram-turki-hishan-al-mazidih","11 March 2010"
"QDi.277","GHAZY FEZZA HISHAN AL-MAZIDIH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ghazy-fezza-hishan-al-mazidih","11 March 2010"
"QDi.278","MUTHANNA HARITH AL-DARI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/muthanna-harith-al-dari","25 March 2010"
"QDi.279","MOHAMED BELKALEM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohamed-belkalem","22 April 2010"
"QDi.280","TAYEB NAIL","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/tayeb-nail","22 April 2010"
"QDi.282","QASIM YAHYA MAHDI AL-RIMI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/qasim-yahya-mahdi-al-rimi","11 May 2010"
"QDi.283","ANWAR NASSER ABDULLA AL-AULAQI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/anwar-nasser-abdulla-al-aulaqi","20 July 2010"
"QDi.289","SAID JAN ‘ABD AL-SALAM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/said-jan-%E2%80%98abd-al-salam","09 February 2011"
"QDi.290","DOKU KHAMATOVICH UMAROV","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/doku-khamatovich-umarov","10 March 2011"
