ref_num,name,link,posted_on
QDe.001,ABU SAYYAF GROUP,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/abu-sayyaf-group,7-Apr-11
QDe.002,AL-ITIHAAD AL-ISLAMIYA / AIAI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-itihaad-al-islamiya/aiai,7-Apr-11
QDe.003,EGYPTIAN ISLAMIC JIHAD,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/egyptian-islamic-jihad,7-Sep-10
QDe.004,Al-QAIDA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-qaida,7-Oct-11
QDe.005,AL RASHID TRUST,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-rashid-trust,7-Sep-10
QDe.006,ARMED ISLAMIC GROUP,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/armed-islamic-group,7-Apr-11
QDe.007,ASBAT AL-ANSAR,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/asbat-al-ansar,7-Apr-11
QDe.008,HARAKAT UL-MUJAHIDIN / HUM,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/harakat-ul-mujahidin/hum,7-Oct-11
QDe.009,ISLAMIC ARMY OF ADEN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/islamic-army-of-aden,7-Sep-10
QDe.010,ISLAMIC MOVEMENT OF UZBEKISTAN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/islamic-movement-of-uzbekistan,7-Apr-11
QDe.011,LIBYAN ISLAMIC FIGHTING GROUP,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/libyan-islamic-fighting-group,23-Aug-10
QDe.012,MAKHTAB AL-KHIDAMAT,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/makhtab-al-khidamat,7-Sep-10
QDe.014,THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/the-organization-of-al-qaida-in-the-islamic,28-Mar-11
QDe.015,WAFA HUMANITARIAN ORGANIZATION,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/wafa-humanitarian-organization,7-Apr-11
QDe.019,JAISH-I-MOHAMMED,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jaish-i-mohammed,7-Oct-11
QDe.020,JAM’YAH TA’AWUN AL-ISLAMIA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jam%E2%80%99yah-ta%E2%80%99awun-al-islamia,7-Apr-11
QDe.021,RABITA TRUST,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/rabita-trust,7-Apr-11
QDe.068,UMMAH TAMEER E-NAU (UTN),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ummah-tameer-e-nau-%28utn%29,7-Apr-11
QDe.069,AFGHAN SUPPORT COMMITTEE (ASC),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/afghan-support-committee-%28asc%29,7-Apr-11
QDe.070,REVIVAL OF ISLAMIC HERITAGE SOCIETY,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/revival-of-islamic-heritage-society,7-Apr-11
QDe.088,EASTERN TURKISTAN ISLAMIC MOVEMENT,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/eastern-turkistan-islamic-movement,7-Apr-11
QDe.089,MOROCCAN ISLAMIC COMBATANT GROUP,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/moroccan-islamic-combatant-group,14-Dec-09
QDe.090,TUNISIAN COMBATANT GROUP,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/tunisian-combatant-group,7-Apr-11
QDe.091,GLOBAL RELIEF FOUNDATION (GRF),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/global-relief-foundation-%28grf%29,7-Sep-10
QDe.092,JEMAAH ISLAMIYAH,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jemaah-islamiyah,28-Mar-11
QDe.093,BENEVOLENCE INTERNATIONAL FOUNDATION,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/benevolence-international-foundation,19-Nov-10
QDe.096,LASHKAR I JHANGVI (LJ),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/lashkar-i-jhangvi-%28lj%29,7-Oct-11
QDe.098,ANSAR AL-ISLAM,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-islam,19-Nov-10
QDe.099,ISLAMIC INTERNATIONAL BRIGADE (IIB),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/islamic-international-brigade-%28iib%29,7-Sep-10
QDe.100,RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS (RSRSBCM),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/riyadus-salikhin-reconnaissance-and-sabotage,7-Sep-10
QDe.101,SPECIAL PURPOSE ISLAMIC REGIMENT (SPIR),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/special-purpose-islamic-regiment-%28spir%29,7-Sep-10
QDe.104,AL-HARAMAIN FOUNDATION (PAKISTAN),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain-foundation-%28pakistan%29,30-Oct-09
QDe.105,AL-HARAMAYN FOUNDATION (KENYA),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramayn-foundation-%28kenya%29,30-Oct-09
QDe.106,AL-HARAMAYN FOUNDATION (TANZANIA),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramayn-foundation-%28tanzania%29,30-Oct-09
QDe.107,AL FURQAN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-furqan,19-Nov-10
QDe.108,TAIBAH INTERNATIONAL-BOSNIA OFFICES,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/taibah-international-bosnia-offices,7-Apr-11
QDe.109,AL-HARAMAIN & AL MASJED AL-AQSA CHARITY FOUNDATION,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain-%26-al-masjed-al-aqsa-charity-foundation,30-Oct-09
QDe.110,AL-HARAMAIN: AFGHANISTAN BRANCH,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain%3A-afghanistan-branch,30-Oct-09
QDe.111,AL HARAMAIN: ALBANIA BRANCH,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain%3A-albania-branch,30-Oct-09
QDe.112,AL-HARAMAIN: BANGLADESH BRANCH,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain%3A-bangladesh-branch,30-Oct-09
QDe.113,AL-HARAMAIN: ETHIOPIA BRANCH,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain%3A-ethiopia-branch,30-Oct-09
QDe.114,AL-HARAMAIN: THE NETHERLANDS BRANCH,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain%3A-the-netherlands-branch,30-Oct-09
QDe.115,AL-QAIDA IN IRAQ,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-qaida-in-iraq,28-Mar-11
QDe.116,AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-haramain-foundation-%28union-of-the-comoros%29,30-Oct-09
QDe.118,LASHKAR-E-TAYYIBA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/lashkar-e-tayyiba,23-Aug-10
QDe.119,ISLAMIC JIHAD GROUP,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/islamic-jihad-group,7-Sep-10
QDe.121,AL-AKHTAR TRUST INTERNATIONAL,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-akhtar-trust-international,6-Apr-09
QDe.128,RAJAH SOLAIMAN MOVEMENT,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/rajah-solaiman-movement,7-May-09
