"web_page","ref_num","name","link","posted_on"
"03-","QDe.142","ANSARUL MUSLIMINA FI BILADIS-SUDAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansarul-muslimina-fi-biladis-sudan","26 June 2014"
"03-","QDe.143","ANSAR AL-SHARI’A IN TUNISIA (AAS-T)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-shari%E2%80%99a-in-tunisia-%28aas-t%29","23 September 2014"
"03-","QDe.144","ABDALLAH AZZAM BRIGADES (AAB)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/abdallah-azzam-brigades-%28aab%29","23 September 2014"
"03-","QDe.145","ANSAR AL CHARIA DERNA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-charia-derna","19 November 2014"
"03-","QDe.146","ANSAR AL CHARIA BENGHAZI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-charia-benghazi","19 November 2014"
"03-","QDe.147","HILAL AHMAR SOCIETY INDONESIA (HASI)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/hilal-ahmar-society-indonesia-%28hasi%29","13 March 2015"
"03-","QDe.148","THE ARMY OF MIGRANTS AND SUPPORTERS","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/the-army-of-migrants-and-supporters","06 August 2015"
"03-","QDe.149","Harakat Sham al-Islam","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/harakat-sham-al-islam","29 February 2016"
"03-","QDe.150","Mujahidin Indonesian Timur (MIT)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/mujahidin-indonesian-timur-%28mit%29","29 September 2015"
"03-","QDe.151","JUND AL-KHILAFAH IN ALGERIA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jund-al-khilafah-in-algeria","29 September 2015"
"03-","QDe.152","Jamaat-ul-Ahrar (JuA)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jamaat-ul-ahrar-%28jua%29","06 July 2017"
"03-","QDe.153","HANIFA MONEY EXCHANGE OFFICE (BRANCH LOCATED IN ALBU KAMAL, SYRIAN ARAB REPUBLIC)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/hanifa-money-exchange-office-%28branch-located-in","20 July 2017"
"03-","QDe.154","SELSELAT AL-THAHAB","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/selselat-al-thahab","20 July 2017"
"03-","QDe.155","JAYSH KHALID IBN AL WALEED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jaysh-khalid-ibn-al-waleed","20 July 2017"
