"ref_num","name","link","posted_on"
"QDi.356","AQSA MAHMOOD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/aqsa-mahmood","28 September 2015"

"QDe.001","ABU SAYYAF GROUP","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/abu-sayyaf-group","07 April 2011"
"QDe.002","AL-ITIHAAD AL-ISLAMIYA / AIAI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-itihaad-al-islamiya/aiai","07 April 2011"
